t,x1_raw,x1,x2,line_pos,has_line,err,mode,v_cap,kp,ki,kd,base_v,left,right,ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7
0.9500000000000001,100.0,83.44089263592528,91.51752788428735,-0.06181825423002957,1.0,-0.06140211650303432,HF,0.75,0.4,0.0,0.18,0.5,0.5968315124511719,0.403168487548828,0,23,232,883,610,81,6,3
0.96,59.683151245117195,78.68934435776366,93.28544551973509,-0.04400024751214764,1.0,-0.04389122554234096,HF,0.75,0.4,0.0,0.18,0.5,0.20236045292445592,0.7976395470755441,1,14,206,874,659,109,2,0
0.97,79.7639547075544,78.90426642772181,92.25620882982157,-0.08579174989895384,1.0,-0.08866439546857562,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.341382816859654,6,10,276,897,546,41,0,6
0.98,100.0,83.12341314217744,93.57160031730166,-0.06510939655357033,1.0,-0.06175313677106585,HF,0.75,0.4,0.0,0.18,0.5,0.04029859815325054,0.9597014018467495,0,11,244,890,624,84,0,0
0.99,95.97014018467495,85.69275855067694,92.4167656158951,-0.1157586883083412,1.0,-0.10663543428693499,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.3505355290004185,0,17,336,936,488,49,0,4
1.0,100.0,88.55420684054155,94.798710873172,-0.05759184764535691,1.0,-0.0516941887991769,HF,0.75,0.4,0.0,0.18,0.5,-0.4682647432599748,1.0,0,6,239,902,647,89,10,0
1.01,100.0,90.84336547243325,94.63478813126865,-0.07314590216935277,1.0,-0.08222811562674386,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.08250192914690269,16,8,276,922,592,68,0,3
1.02,100.0,92.6746923779466,93.045670976071,-0.08943614990169775,1.0,-0.09498398644583565,HF,0.75,0.4,0.0,0.18,0.5,0.7675992693219866,0.23240073067801337,0,33,303,927,545,60,6,0
1.03,76.75992693219867,89.49173928879702,91.4852469251533,-0.11204729787717817,1.0,-0.11425413404192243,HF,0.75,0.4,0.0,0.18,0.5,0.892564310346331,0.10743568965366906,3,27,328,939,468,33,2,8
1.04,89.2564310346331,89.44467763796423,95.36785538291574,-0.0884145993131109,1.0,-0.08328969138009208,HF,0.75,0.4,0.0,0.18,0.5,-0.024044091360909348,1.0,8,16,293,953,566,49,13,11
1.05,100.0,91.55574211037138,90.74887459698094,-0.07172888649949823,1.0,-0.0692833491734096,HF,0.75,0.4,0.0,0.18,0.5,0.27559917994907923,0.7244008200509208,4,15,244,875,576,79,5,0
1.06,72.44008200509208,87.73261008931553,93.54339742129669,-0.13686980894108292,1.0,-0.1336355209350586,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.5,9,16,394,947,416,44,0,2
1.07,100.0,90.18608807145243,91.90615884224164,-0.07045760432402855,1.0,-0.06174400874546596,HF,0.75,0.4,0.0,0.18,0.5,-0.5,1.0,0,2,257,886,575,68,13,6
1.08,100.0,92.14887045716195,91.30269573118429,-0.08692831189761571,1.0,-0.09214326313563756,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.08404388427734377,0,32,282,907,549,61,0,0
1.09,100.0,93.71909636572956,91.85679748117187,-0.08047771897291922,1.0,-0.08461236953735352,HF,0.75,0.4,0.0,0.18,0.5,0.3982888630458286,0.6017111369541714,5,15,274,902,561,48,8,2
1.1,60.17111369541715,87.00949983166709,93.9960202197193,-0.137294283669032,1.0,-0.13890579768589564,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.5,17,29,409,952,432,26,0,15
1.11,100.0,89.60759986533367,91.61863519847331,-0.07450291014832539,1.0,-0.07196910040719169,HF,0.75,0.4,0.0,0.18,0.5,-0.5,1.0,7,17,257,896,594,68,3,8
1.12,100.0,91.68607989226693,94.21105186591596,-0.054440843774247884,1.0,-0.056449753897530694,HF,0.75,0.4,0.0,0.18,0.5,0.2432316643851144,0.7567683356148855,5,1,240,879,647,80,1,2
1.1300000000000001,75.67683356148855,88.48423062611126,92.64271443090054,-0.0689217039362891,1.0,-0.07350451605660575,HF,0.75,0.4,0.0,0.18,0.5,0.8363875252859934,0.1636124747140067,13,16,247,903,605,63,6,5
1.1400000000000001,83.63875252859934,87.51513500660887,91.40487299328002,-0.048875027313499034,1.0,-0.04730054310389927,HF,0.75,0.4,0.0,0.18,0.5,0.0472487040928431,0.9527512959071569,0,10,209,853,630,77,15,0
1.1500000000000001,95.2751295907157,89.06713392343023,90.01721530108739,-0.11833826378841232,1.0,-0.10896423884800502,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.5,0,12,353,923,449,59,8,0
1.16,100.0,91.25370713874419,87.00118857025285,-0.028187325094941824,1.0,-0.021404266357421875,HF,0.75,0.4,0.0,0.18,0.5,-0.5,1.0,0,0,178,796,668,107,7,6
1.17,100.0,93.00296571099535,93.51785717957353,-0.06697492548390185,1.0,-0.06809077944074358,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.3675935472760883,0,12,241,899,593,74,0,0
1.18,100.0,94.40237256879628,92.35978830230695,-0.0432108701781916,1.0,-0.042257990155901225,HF,0.75,0.4,0.0,0.18,0.5,0.05191298893519802,0.948087011064802,7,0,195,860,652,92,6,0
1.19,94.8087011064802,94.48363827633307,92.21075101229192,-0.09604616599152332,1.0,-0.08684090205601283,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.33722877502441406,0,20,288,925,522,59,2,10
1.2,100.0,95.58691062106645,92.25044900529582,-0.0761343448626663,1.0,-0.07260206767490932,HF,0.75,0.4,0.0,0.18,0.5,0.2727418082101004,0.7272581917898996,1,18,261,901,569,62,0,14
1.21,72.72581917898997,91.01469233265115,89.51227352921742,-0.07945427270195433,1.0,-0.07222577503749303,HF,0.75,0.4,0.0,0.18,0.5,0.522117042541504,0.47788295745849596,0,21,257,888,544,65,0,17
